,smp,ref,cos,ref_lp,lp,ref_lev,lv,ecul,refe
136,non-reactive(2.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
137,non-reactive(3.4),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
138,non-reactive(3.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
139,non-reactive(3.1),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
140,non-reactive(3.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
141,non-reactive(2.9),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
142,non-reactive(3.3),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
143,non-reactive(3.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
144,non-reactive(3.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
145,non-reactive(3.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
146,non-reactive(3.9),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
147,non-reactive(9.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
148,non-reactive(5.5),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
149,non-reactive(5.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
150,non-reactive(3.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
151,non-reactive(4.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
152,non-reactive(4.1),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
153,non-reactive(4.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
154,non-reactive(4.4),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
155,non-reactive(4.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
156,non-reactive(4.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
157,non-reactive(4.3),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
158,non-reactive(4.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
159,non-reactive(6.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
160,non-reactive(6.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
161,non-reactive(4.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
162,non-reactive(5.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
163,non-reactive(5.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
164,non-reactive(5.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
165,non-reactive(5.4),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
166,non-reactive(5.3),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
167,non-reactive(5.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
168,non-reactive(5.1),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
169,non-reactive(4.9),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
170,w-rea(1:1),weak-reac,"[0.43, 0.37, 0.56]",reac,"[3.16, 3.74, 3.32]",reac,"[7, 8, 8]",cosine,weak-reac
