,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
141,po 5.6,posi,"[0.9786232635577506, 0.975218749603709, 0.9785785044224309]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
142,po 6.3,posi,"[0.9786232635571015, 0.9752187495807869, 0.9785798607592338]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
143,po 6.2,posi,"[0.9786232635577506, 0.975218749603709, 0.9785791825908337]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
144,po 6.6,posi,"[0.9892057819875959, 0.9875216832623481, 0.9572427532665188]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
145,po 6.7,posi,"[0.9786232635577506, 0.975218749603709, 0.9785796912171356]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
146,po 6.5,posi,"[0.9786232635577506, 0.975218749603709, 0.9785785044224309]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
147,po 6.4,posi,"[0.9786232635577506, 0.975218749603709, 0.9785798183737111]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
148,po 6.8,posi,"[0.978623263887594, 0.975218749580426, 0.9785798607579429]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
149,po 6.9,posi,"[0.9786232635577506, 0.975218749603709, 0.9785798501628551]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
150,po 7.2,posi,"[0.9786230940156513, 0.9752185588688471, 0.9785790130487342]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
151,po 7.6,posi,"[0.9786232635577506, 0.975218749603709, 0.9785796912171356]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
152,po 7.7,posi,"[0.9892057819885461, 0.9875216832852673, 0.9572427532719178]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
153,po 7.8,posi,"[0.9786232635564585, 0.9752187496022553, 0.9785796912158434]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
